name,team,PositionTemp,Minutes,goals,assists,PKMissed,Goals Against,Saves,Clean Sheet,Yellow Cards,Red Cards,URL,ImgURL
Mandy Freeman,Gotham,DF,751,1,2,0,0,0,0,3,0,https://fbref.com/en/players/ee5355a7/Mandy-Freeman,assets/placeholder.png
Maitane López Millán,Gotham,"MF,DF",414,0,0,0,0,0,0,3,0,https://fbref.com/en/players/3ca55cb5/Maitane-Lopez-Millan,assets/placeholder.png
Cassie Miller,Gotham,GK,360,0,0,0,4,12,1,0,0,https://fbref.com/en/players/6946f9d4/Cassie-Miller,assets/placeholder.png
Maycee Bell,Gotham,DF,292,1,0,0,0,0,0,0,0,https://fbref.com/en/players/4b32b951/Maycee-Bell,assets/placeholder.png
Taryn Torres,Gotham,"DF,MF",163,0,0,0,0,0,0,1,0,https://fbref.com/en/players/711932d7/Taryn-Torres,assets/placeholder.png
Kelley O'Hara,Gotham,DF,81,0,0,0,0,0,0,0,0,https://fbref.com/en/players/5ebefe20/Kelley-OHara,assets/placeholder.png
Margaret Purce,Gotham,FW,44,0,0,0,0,0,0,1,0,https://fbref.com/en/players/c94c70bc/Margaret-Purce,assets/placeholder.png
McCall Zerboni,Gotham,"MF,FW",168,0,0,0,0,0,0,0,0,https://fbref.com/en/players/19ade833/McCall-Zerboni,assets/placeholder.png
Cecelia Kizer,Gotham,"MF,FW",65,1,0,0,0,0,0,0,0,https://fbref.com/en/players/8e2a7ac1/Cecelia-Kizer,assets/placeholder.png
Jéssica Silva,Gotham,"FW,MF",44,0,1,0,0,0,0,1,0,https://fbref.com/en/players/cd6a0894/Jessica-Silva,assets/placeholder.png
Sinead Farrelly,Gotham,MF,2,0,0,0,0,0,0,0,0,https://fbref.com/en/players/34e16d35/Sinead-Farrelly,assets/placeholder.png
Michelle Betos,Gotham,GK,,,,0,0,0,0,,,https://fbref.com/en/players/9e11e21d/Michelle-Betos,assets/placeholder.png
Kristen Edmonds,Gotham,"DF,MF",,,,0,0,0,0,,,https://fbref.com/en/players/1e3c5371/Kristen-Edmonds,assets/placeholder.png
Erin McKinney,Gotham,GK,,,,0,0,0,0,,,https://fbref.com/en/players/5cc1a827/Erin-McKinney,assets/placeholder.png
Abby Smith,Gotham,GK,,,,0,0,0,0,,,https://fbref.com/en/players/947d22fb/Abby-Smith,assets/placeholder.png
